text,category,intent
assistance changing the last order I made,ORDER,change_order
can you help me to remove an item?,ORDER,change_order
how to change an order?,ORDER,change_order
help to add several items to an order,ORDER,change_order
I want to remove an item from an order,ORDER,change_order
I have to remove several items,ORDER,change_order
I have forgotten to include an item,ORDER,change_order
could I add something to an order?,ORDER,change_order
I have to add something,ORDER,change_order
remove some items from an order,ORDER,change_order
help me remove an item from an order,ORDER,change_order
can you help me changing the order I made?,ORDER,change_order
remove item from order,ORDER,change_order
question about changing an order,ORDER,change_order
how could I remove several items from an order?,ORDER,change_order
I have to add several items to an order,ORDER,change_order
problem with adding something,ORDER,change_order
change an order,ORDER,change_order
can you help me to change an order I have made?,ORDER,change_order
could you help me add something to an order?,ORDER,change_order
could you help me change the order I have made?,ORDER,change_order
help to add an item,ORDER,change_order
is it possible to change the order I have made?,ORDER,change_order
help to change an order I have made,ORDER,change_order
help me change something of an order,ORDER,change_order
I don't know how to remove an item from an order,ORDER,change_order
question about changing my order,ORDER,change_order
I am trying to change my last order,ORDER,change_order
help to change an item of an order,ORDER,change_order
I need help changing my order,ORDER,change_order
I need to change the last order I have made,ORDER,change_order
I need assistance to change an order,ORDER,change_order
I have missed some items in the order,ORDER,change_order
is it possible to change an order I have made?,ORDER,change_order
I do not know how to add an item,ORDER,change_order
I need assistance with changing the order I have made,ORDER,change_order
can you help me removing several items from an order?,ORDER,change_order
can you help me removing several items?,ORDER,change_order
I want assistance to change the last order,ORDER,change_order
I don't know how to remove some items,ORDER,change_order
I need help to change several items of an order,ORDER,change_order
help me remove several items,ORDER,change_order
I have problems with adding something,ORDER,change_order
I try to add something,ORDER,change_order
problems with changing my last order,ORDER,change_order
I have a question about changing the last order I have made,ORDER,change_order
help with adding some items,ORDER,change_order
is it possible to add some items to an order?,ORDER,change_order
can you help me to remove several items?,ORDER,change_order
I can't remove some items,ORDER,change_order
how do I add several items to an order?,ORDER,change_order
I want to remove some items from an order,ORDER,change_order
I need assistance with adding some items,ORDER,change_order
I would like to remove something,ORDER,change_order
I need help with removing an item,ORDER,change_order
could you help me to remove an item?,ORDER,change_order
I have to remove several items from an order,ORDER,change_order
I try to remove something from an order,ORDER,change_order
I have problems with adding some items to an order,ORDER,change_order
assistance to add something,ORDER,change_order
how can I add an item to an order?,ORDER,change_order
how can I remove several items from an order?,ORDER,change_order
I want help adding several items to an order,ORDER,change_order
I do not know how I could add something,ORDER,change_order
problem with changing an order,ORDER,change_order
is it possible to change an order I made?,ORDER,change_order
I need help to change something of an order,ORDER,change_order
how can I remove some items from an order?,ORDER,change_order
I don't know how I can add an item,ORDER,change_order
I am trying to change the last order I made,ORDER,change_order
I cannot remove some items from an order,ORDER,change_order
I want assistance to change an order I have made,ORDER,change_order
assistance to remove an item,ORDER,change_order
I have problems with removing something,ORDER,change_order
assistance to change an order,ORDER,change_order
help me change an item of an order,ORDER,change_order
how can I get information about changing orders?,ORDER,change_order
I want assistance to change an item of an order,ORDER,change_order
I need help to change an order I made,ORDER,change_order
can you help me add several items to an order?,ORDER,change_order
help me changing something of an order,ORDER,change_order
how do I change several items of an order?,ORDER,change_order
how could I get information about order changes?,ORDER,change_order
can you help me to add some items?,ORDER,change_order
I have got to remove something,ORDER,change_order
I need help with adding an item to an order,ORDER,change_order
I have a problem with changing the order I have made,ORDER,change_order
problems with adding an item to an order,ORDER,change_order
information about changing orders,ORDER,change_order
how to change the last order I have made?,ORDER,change_order
I want assistance to remove something from an order,ORDER,change_order
I need assistance to change the last order,ORDER,change_order
I do not know how I can add an item,ORDER,change_order
I have a problem with changing some items of an order,ORDER,change_order
assistance changing my last order,ORDER,change_order
I have problems with changing something of an order,ORDER,change_order
I have problems with removing something from an order,ORDER,change_order
I have to change my last order,ORDER,change_order
could you help me remove some items from an order?,ORDER,change_order
help to change the order I made,ORDER,change_order
I want to add some items to an order,ORDER,change_order
I do not know how I can add several items,ORDER,change_order
could I add something?,ORDER,change_order
help me removing several items,ORDER,change_order
I don't know how I could change some items of an order,ORDER,change_order
I don't know how I can add an item to an order,ORDER,change_order
help changing an order I made,ORDER,change_order
how can I add something?,ORDER,change_order
order change,ORDER,change_order
I can't add some items to an order,ORDER,change_order
help to change the last order I made,ORDER,change_order
I need assistance to add an item,ORDER,change_order
I cannot change several items of an order,ORDER,change_order
could you help me removing something?,ORDER,change_order
could I change the order I made?,ORDER,change_order
I would like to change the last order I have made,ORDER,change_order
I do not know how I can change an item of an order,ORDER,change_order
add some items to an order,ORDER,change_order
I want help adding some items to an order,ORDER,change_order
assistance with adding several items,ORDER,change_order
will you give me information about order changes?,ORDER,change_order
help me to remove something,ORDER,change_order
I don't know how to remove some items from an order,ORDER,change_order
I want to remove several items,ORDER,change_order
I want assistance to add several items,ORDER,change_order
is it possible to change an order?,ORDER,change_order
I need assistance with removing something from an order,ORDER,change_order
I have a question about changing an order I made,ORDER,change_order
I want to change something of an order,ORDER,change_order
I want assistance to change the last order I made,ORDER,change_order
problem with adding some items to an order,ORDER,change_order
could you help me change the order I made?,ORDER,change_order
I don't know how to add something,ORDER,change_order
I have a problem with removing something from an order,ORDER,change_order
the items I have purchased aren't the ones I wanted,ORDER,change_order
help me change several items of an order,ORDER,change_order
help with adding an item to an order,ORDER,change_order
I have a problem with changing my order,ORDER,change_order
can you help me removing something?,ORDER,change_order
I need to add some items to an order,ORDER,change_order
help changing an item of an order,ORDER,change_order
I am trying to change the last order I have made,ORDER,change_order
I do not know how to add some items to an order,ORDER,change_order
how could I add an item?,ORDER,change_order
I need to change the last order,ORDER,change_order
I cannot change an item of an order,ORDER,change_order
I do not know how I could add an item to an order,ORDER,change_order
I missed some items,ORDER,change_order
would it be possible to change something of an order?,ORDER,change_order
I don't know how to remove an item,ORDER,change_order
assistance with changing an order,ORDER,change_order
I need assistance to change several items of an order,ORDER,change_order
can you help me to change my last order?,ORDER,change_order
can you help me remove something from an order?,ORDER,change_order
I want help changing some items of an order,ORDER,change_order
could you help me add some items?,ORDER,change_order
I am trying to change an order I made,ORDER,change_order
I want help to remove an item from an order,ORDER,change_order
change some items of an order,ORDER,change_order
I need help to add an item,ORDER,change_order
can I remove several items?,ORDER,change_order
help me to remove some items from an order,ORDER,change_order
question about changing the order I made,ORDER,change_order
I need help removing some items,ORDER,change_order
could you help me adding an item to an order?,ORDER,change_order
how to add something to an order?,ORDER,change_order
I can't change my last order,ORDER,change_order
I forgot to include some items in my order,ORDER,change_order
I have got to remove several items from an order,ORDER,change_order
can you help me change my order?,ORDER,change_order
I want help changing the order I made,ORDER,change_order
adding product to last order,ORDER,change_order
help with changing something of an order,ORDER,change_order
how could I change my order?,ORDER,change_order
I forgot to include some items in the order,ORDER,change_order
problem with removing some items from an order,ORDER,change_order
help me to remove something from an order,ORDER,change_order
I want help changing an order I made,ORDER,change_order
how do I remove several items?,ORDER,change_order
I try to add several items,ORDER,change_order
I want assistance to remove something,ORDER,change_order
I can't change an order,ORDER,change_order
I have got to add an item,ORDER,change_order
help to remove some items from an order,ORDER,change_order
I do not know how I can remove several items from an order,ORDER,change_order
help to change the last order I have made,ORDER,change_order
I have a question about changing the order I have made,ORDER,change_order
could you help me to add an item to an order?,ORDER,change_order
I purchased the wrong item,ORDER,change_order
problem with adding an item,ORDER,change_order
I need assistance removing something,ORDER,change_order
assistance adding an item,ORDER,change_order
I have got to change an order I made,ORDER,change_order
I want assistance to change several items of an order,ORDER,change_order
information about order changes,ORDER,change_order
I need information about orders,ORDER,change_order
I have got to change an item of an order,ORDER,change_order
I need assistance removing several items from an order,ORDER,change_order
I need assistance with adding an item,ORDER,change_order
I cannot remove several items,ORDER,change_order
can you help me adding several items?,ORDER,change_order
assistance with changing several items of an order,ORDER,change_order
could you help me to change the order I have made?,ORDER,change_order
help with changing the order I made,ORDER,change_order
I need assistance to remove an item from an order,ORDER,change_order
I do not know how I could remove an item from an order,ORDER,change_order
I need assistance with removing several items from an order,ORDER,change_order
where could I find information about changing an order?,ORDER,change_order
I want assistance to change an order,ORDER,change_order
change order,ORDER,change_order
I don't know how I could remove several items from an order,ORDER,change_order
how can I change the last order I have made?,ORDER,change_order
can you help me to change the last order I made?,ORDER,change_order
I have forgotten to include several items in my order,ORDER,change_order
could you help me change an order I have made?,ORDER,change_order
remove something,ORDER,change_order
would it be possible to change an order?,ORDER,change_order
I would like to add some items to an order,ORDER,change_order
I want assistance to remove several items from an order,ORDER,change_order
I have a question about changing my orders,ORDER,change_order
I cannot add some items,ORDER,change_order
I need help to add some items,ORDER,change_order
I need help adding several items,ORDER,change_order
I cannot change my last order,ORDER,change_order
I have to add some items to an order,ORDER,change_order
help me changing an order I have made,ORDER,change_order
how could I change an item of an order?,ORDER,change_order
assistance adding something,ORDER,change_order
I want information about changing an order,ORDER,change_order
could you help me changing my order?,ORDER,change_order
I have a problem with adding several items to an order,ORDER,change_order
help to change an order,ORDER,change_order
I have got to add several items,ORDER,change_order
would it be possible to remove an item?,ORDER,change_order
can you help me remove something?,ORDER,change_order
I want help to add some items,ORDER,change_order
could you help me remove several items?,ORDER,change_order
can you help me remove some items from an order?,ORDER,change_order
help me adding several items,ORDER,change_order
problem with removing something from an order,ORDER,change_order
I am trying to add something to an order,ORDER,change_order
would it be possible to change an order I have made?,ORDER,change_order
help me add several items to an order,ORDER,change_order
I want help removing an item,ORDER,change_order
could you help me add several items?,ORDER,change_order
I have problems with removing some items,ORDER,change_order
assistance to change my order,ORDER,change_order
how to remove some items from an order?,ORDER,change_order
I need help to add an item to an order,ORDER,change_order
help with changing my order,ORDER,change_order
problem with changing several items of an order,ORDER,change_order
I have problems with changing an order I have made,ORDER,change_order
I don't know how to change some items of an order,ORDER,change_order
I need assistance to remove an item,ORDER,change_order
I have got to change an order,ORDER,change_order
could I remove several items from an order?,ORDER,change_order
can you help me adding some items to an order?,ORDER,change_order
I need assistance with changing some items of an order,ORDER,change_order
could you help me remove some items?,ORDER,change_order
is it possible to remove some items?,ORDER,change_order
how can I change several items of an order?,ORDER,change_order
I want help removing several items from an order,ORDER,change_order
can I change the order I have made?,ORDER,change_order
I don't know how I could add some items,ORDER,change_order
I try to change several items of an order,ORDER,change_order
can I change the last order?,ORDER,change_order
I cannot remove some items,ORDER,change_order
I need assistance changing several items of an order,ORDER,change_order
would it be possible to change some items of an order?,ORDER,change_order
is it possible to add some items?,ORDER,change_order
I would like to change the last order,ORDER,change_order
I have problems with changing orders,ORDER,change_order
I don't know how I can add several items,ORDER,change_order
I try to change an item of an order,ORDER,change_order
help changing an order,ORDER,change_order
I want help to add something,ORDER,change_order
I have a problem with adding an item,ORDER,change_order
I have a problem with changing the last order,ORDER,change_order
can you help me to change some items of an order?,ORDER,change_order
I cannot change the last order,ORDER,change_order
I have an error correcting the shipping address,SHIPPING_ADDRESS,change_shipping_address
i need assistance trying to update my delivery address,SHIPPING_ADDRESS,change_shipping_address
information about updating my shipping address,SHIPPING_ADDRESS,change_shipping_address
give me information about editing the delivery address,SHIPPING_ADDRESS,change_shipping_address
tell me more about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
I have an issue trying to correct the address,SHIPPING_ADDRESS,change_shipping_address
I want to know more about changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
assistance changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
could you help me to change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
my shipping address has changed,SHIPPING_ADDRESS,change_shipping_address
i want assistance to modify the address,SHIPPING_ADDRESS,change_shipping_address
I want assistance changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
could you help me to change my shipping address?,SHIPPING_ADDRESS,change_shipping_address
I put the old address by mistake,SHIPPING_ADDRESS,change_shipping_address
i need asistance trying to edit my shipping address,SHIPPING_ADDRESS,change_shipping_address
I have an issue trying to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
I have issues changing the shipping address,SHIPPING_ADDRESS,change_shipping_address
can you tell me about updating the address?,SHIPPING_ADDRESS,change_shipping_address
can you help me change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
need assistance to edit my delivery address,SHIPPING_ADDRESS,change_shipping_address
how can I change the shipping address?,SHIPPING_ADDRESS,change_shipping_address
I want help trying to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
I don't know how to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
can you tell me more about changing the shipping address?,SHIPPING_ADDRESS,change_shipping_address
i havesubmitted a wrong delivery address how do i correct it,SHIPPING_ADDRESS,change_shipping_address
help to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
I want assistance to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
I would like to know more about changing my shipping address,SHIPPING_ADDRESS,change_shipping_address
I do not know how to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
I have to change the shipping address,SHIPPING_ADDRESS,change_shipping_address
I need to change my shipping address,SHIPPING_ADDRESS,change_shipping_address
